sentence,relation,enhanced_sentence,label_id
<e1>Democrats</e1> are running into one <e2>problem</e2> after another trying to pass the health care bill in the Senate.,18,<e1>Democrats</e1> are running into one <e2>problem</e2> after another trying to pass the health care bill in the Senate. [SEP] Democrats: a member of the Democratic Party [KG: No data] [SEP] problem: a state of difficulty that needs to be resolved [KG: No data],18
The Royal Navy's newest 1bn GBP <e1>warship</e1> has been handed over to the new <e2>owner</e2> in a formal ceremony.,6,The Royal Navy's newest 1bn GBP <e1>warship</e1> has been handed over to the new <e2>owner</e2> in a formal ceremony. [SEP] warship: a government ship that is available for waging war [KG: No data] [SEP] owner: (law) someone who owns (is legal possessor of) a business [KG: No data],6
"Designed for light chewers, this colorful <e1>toy</e1> is made with little vine <e2>rings</e2> that slide between wood balls joined together with wooden craft sticks.",3,"Designed for light chewers, this colorful <e1>toy</e1> is made with little vine <e2>rings</e2> that slide between wood balls joined together with wooden craft sticks. [SEP] toy: an artifact designed to be played with [KG: No data] [SEP] rings: gymnastic apparatus consisting of a pair of heavy metal circles (usually covered with leather) suspended by ropes; used for gymnastic exercises [KG: No data]",3
It only spreads <e1>tick</e1> to other <e2>cats</e2>.,6,It only spreads <e1>tick</e1> to other <e2>cats</e2>. [SEP] tick: a metallic tapping sound [KG: No data] [SEP] cats: feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats [KG: No data],6
"The <e1>stem</e1> of this <e2>tree</e2> is carved all around with names and dates, many of them grown into mere scars on the bark.",2,"The <e1>stem</e1> of this <e2>tree</e2> is carved all around with names and dates, many of them grown into mere scars on the bark. [SEP] stem: (linguistics) the form of a word after all affixes are removed [KG: No data] [SEP] tree: a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms [KG: http://www.wikidata.org/prop/direct/P144: tree; http://www.wikidata.org/prop/direct/P138: tree; http://www.wikidata.org/prop/direct/P1299: tree; http://www.wikidata.org/prop/direct/P4969: tree; http://www.wikidata.org/prop/direct/P180: tree]",2
The <e1>company</e1> has also targeted the premium sector with the Pringles Gourmet <e2>line</e2>.,17,The <e1>company</e1> has also targeted the premium sector with the Pringles Gourmet <e2>line</e2>. [SEP] company: an institution created to conduct business [KG: http://www.wikidata.org/prop/direct/P1889: company; http://www.wikidata.org/prop/direct/P279: company; http://www.wikidata.org/prop/direct/P8030: company; http://www.wikidata.org/prop/direct/P1889: company; http://www.wikidata.org/prop/direct/P279: company] [SEP] line: a formation of people or things one beside another [KG: http://www.wikidata.org/prop/direct/P279: line; http://www.wikidata.org/prop/direct/P460: line],17
He took the <e1>cameras</e1> to the <e2>concert</e2>.,6,He took the <e1>cameras</e1> to the <e2>concert</e2>. [SEP] cameras: equipment for taking photographs (usually consisting of a lightproof box with a lens at one end and light-sensitive film at the other) [KG: No data] [SEP] concert: a performance of music by players or singers not involving theatrical staging [KG: No data],6
Fine workmanship is the result almost entirely of the <e1>worker</e1>'s accurate <e2>eye</e2> and deft hand.,3,Fine workmanship is the result almost entirely of the <e1>worker</e1>'s accurate <e2>eye</e2> and deft hand. [SEP] worker: a person who works at a specific occupation [KG: http://www.wikidata.org/prop/direct/P279: worker] [SEP] eye: the organ of sight [KG: http://www.wikidata.org/prop/direct/P180: eye],3
The <e1>printer</e1> covers the plate with a sheet of <e2>paper</e2> and runs both through a press under light pressure.,11,The <e1>printer</e1> covers the plate with a sheet of <e2>paper</e2> and runs both through a press under light pressure. [SEP] printer: someone whose occupation is printing [KG: http://www.wikidata.org/prop/direct/P6875: printer] [SEP] paper: a material made of cellulose pulp derived mainly from wood or rags or certain grasses [KG: http://www.wikidata.org/prop/direct/P138: paper],11
"Close the <e1>lid</e1> of the <e2>portable computer</e2>, disconnect the computer from the power source, and then reopen the lid.",2,"Close the <e1>lid</e1> of the <e2>portable computer</e2>, disconnect the computer from the power source, and then reopen the lid. [SEP] lid: either of two folds of skin that can be moved to cover or open the eye [KG: http://www.wikidata.org/prop/direct/P31: lid] [SEP] portable computer: N/A [KG: No data]",2
Marketing communications <e1>resources</e1> are used by <e2>organisations</e2> in order to communicate with their target audiences.,10,Marketing communications <e1>resources</e1> are used by <e2>organisations</e2> in order to communicate with their target audiences. [SEP] resources: available source of wealth; a new or reserve supply that can be drawn upon when needed [KG: No data] [SEP] organisations: the persons (or committees or departments etc.) who make up a body for the purpose of administering something [KG: No data],10
The <e1>disease</e1> is passed on to another <e2>person</e2> by skin.,6,The <e1>disease</e1> is passed on to another <e2>person</e2> by skin. [SEP] disease: an impairment of health or a condition of abnormal functioning [KG: No data] [SEP] person: a human being [KG: No data],6
The <e1>scandals</e1> are caused by the young female <e2>celebs</e2> who 'inadvertently' reveal glimpses of their naked faces as they get out of limousines.,1,The <e1>scandals</e1> are caused by the young female <e2>celebs</e2> who 'inadvertently' reveal glimpses of their naked faces as they get out of limousines. [SEP] scandals: disgraceful gossip about the private lives of other people [KG: No data] [SEP] celebs: N/A [KG: No data],1
Many <e1>historical events</e1> have been described through <e2>music</e2> and song.,15,Many <e1>historical events</e1> have been described through <e2>music</e2> and song. [SEP] historical events: N/A [KG: No data] [SEP] music: an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner [KG: http://www.wikidata.org/prop/direct/P1056: music; http://www.wikidata.org/prop/direct/P1889: music; http://www.wikidata.org/prop/direct/P1269: music; http://www.wikidata.org/prop/direct/P1889: music],15
The <e1>infection</e1> was caused by the contaminated <e2>chopsticks</e2> used by the parent to feed her child.,1,The <e1>infection</e1> was caused by the contaminated <e2>chopsticks</e2> used by the parent to feed her child. [SEP] infection: the pathological state resulting from the invasion of the body by pathogenic microorganisms [KG: No data] [SEP] chopsticks: one of a pair of slender sticks used as oriental tableware to eat food with [KG: No data],1
"""Any time,"" he told her before turning to the <e1>boy</e1> who was in the <e2>desk</e2> next to him.",18,"""Any time,"" he told her before turning to the <e1>boy</e1> who was in the <e2>desk</e2> next to him. [SEP] boy: a youthful male person [KG: No data] [SEP] desk: a piece of furniture with a writing surface and usually drawers or other compartments [KG: No data]",18
"One caravan trail developed into the Silk Road. During the height of caravan travel, which lasted until the 19th century, a single <e1>caravan</e1> of Muslim <e2>pilgrims</e2> journeying from Cairo and Damascus to Mecca might employ as many as 10,000 camels.",13,"One caravan trail developed into the Silk Road. During the height of caravan travel, which lasted until the 19th century, a single <e1>caravan</e1> of Muslim <e2>pilgrims</e2> journeying from Cairo and Damascus to Mecca might employ as many as 10,000 camels. [SEP] caravan: a procession (of wagons or mules or camels) traveling together in single file [KG: http://www.wikidata.org/prop/direct/P1889: caravan; http://www.wikidata.org/prop/direct/P1889: caravan] [SEP] pilgrims: someone who journeys in foreign lands [KG: No data]",13
This <e1>author</e1> has just completed the first <e2>book</e2> on the topic: GIS in Hospital and Healthcare Emergency Management.,17,This <e1>author</e1> has just completed the first <e2>book</e2> on the topic: GIS in Hospital and Healthcare Emergency Management. [SEP] author: writes (books or stories or articles or the like) professionally (for pay) [KG: http://www.wikidata.org/prop/direct/P1629: author; http://www.wikidata.org/prop/direct/P1687: author] [SEP] book: a written work or composition that has been published (printed on pages bound together) [KG: http://www.wikidata.org/prop/direct/P1889: book; http://www.wikidata.org/prop/direct/P180: book; http://www.wikidata.org/prop/direct/P31: book; http://www.wikidata.org/prop/direct/P31: book; http://www.wikidata.org/prop/direct/P31: book],17
A <e1>customer</e1> picks and chooses the level of information by using <e2>podcasting</e2>.,11,A <e1>customer</e1> picks and chooses the level of information by using <e2>podcasting</e2>. [SEP] customer: someone who pays for goods or services [KG: No data] [SEP] podcasting: distribute (multimedia files) over the internet for playback on a mobile device or a personal computer [KG: No data],11
"Jordan's recent <e1>works</e1> are concerned with <e2>questions</e2> of truth, beauty and the human condition.",14,"Jordan's recent <e1>works</e1> are concerned with <e2>questions</e2> of truth, beauty and the human condition. [SEP] works: buildings for carrying on industrial labor [KG: No data] [SEP] questions: an instance of questioning [KG: No data]",14
"In his <e1>remarks</e1>, he described his <e2>call</e2> to Bush while the U.S. president was giving a speech in Philadelphia.",14,"In his <e1>remarks</e1>, he described his <e2>call</e2> to Bush while the U.S. president was giving a speech in Philadelphia. [SEP] remarks: a statement that expresses a personal opinion or belief or adds information [KG: No data] [SEP] call: a telephone connection [KG: No data]",14
Smith passed on his <e1>advice</e1> to the Naples High <e2>baseball team</e2>.,6,Smith passed on his <e1>advice</e1> to the Naples High <e2>baseball team</e2>. [SEP] advice: a proposal for an appropriate course of action [KG: http://www.wikidata.org/prop/direct/P279: advice] [SEP] baseball team: N/A [KG: No data],6
"As we left, three liberated Frenchmen drove up in a car they had captured a few minutes before and tried to make their way through the <e1>jam</e1> of jabbering <e2>women</e2>.",13,"As we left, three liberated Frenchmen drove up in a car they had captured a few minutes before and tried to make their way through the <e1>jam</e1> of jabbering <e2>women</e2>. [SEP] jam: preserve of crushed fruit [KG: No data] [SEP] women: an adult female person (as opposed to a man) [KG: No data]",13
"In order to evaluate MonoTouch, I've got an evaluation <e1>copy</e1> with the debugger from the evaluation <e2>page</e2>.",8,"In order to evaluate MonoTouch, I've got an evaluation <e1>copy</e1> with the debugger from the evaluation <e2>page</e2>. [SEP] copy: a reproduction of a written record (e.g. of a legal or school record) [KG: No data] [SEP] page: one side of one leaf (of a book or magazine or newspaper or letter etc.) or the written or pictorial matter it contains [KG: No data]",8
The <e1>convention</e1> took into account <e2>discharges</e2> of harmful substances from ships.,18,The <e1>convention</e1> took into account <e2>discharges</e2> of harmful substances from ships. [SEP] convention: a large formal assembly [KG: No data] [SEP] discharges: the sudden giving off of energy [KG: No data],18
The modern <e1>industry</e1> fabricates <e2>foods</e2> from non-traditional ingredients and additives to look like a familiar product.,17,The modern <e1>industry</e1> fabricates <e2>foods</e2> from non-traditional ingredients and additives to look like a familiar product. [SEP] industry: the people or companies engaged in a particular kind of commercial enterprise [KG: http://www.wikidata.org/prop/direct/P1629: industry; http://www.wikidata.org/prop/direct/P1687: industry] [SEP] foods: any substance that can be metabolized by an animal to give energy and build tissue [KG: No data],17
Grint shows he's becoming a delightful comic <e1>actor</e1> with a highly flexible <e2>voice</e2>.,18,Grint shows he's becoming a delightful comic <e1>actor</e1> with a highly flexible <e2>voice</e2>. [SEP] actor: a theatrical performer [KG: http://www.wikidata.org/prop/direct/P6875: actor] [SEP] voice: the distinctive quality or pitch or condition of a person's speech [KG: No data],18
An unknown source brought an <e1>alien frog</e1> into our <e2>eco-system</e2>.,18,An unknown source brought an <e1>alien frog</e1> into our <e2>eco-system</e2>. [SEP] alien frog: N/A [KG: No data] [SEP] eco-system: N/A [KG: No data],18
They achieved the maximum possible <e1>flexibility</e1> in a crockery <e2>basket</e2> for receiving a plurality of different items of crockery.,18,They achieved the maximum possible <e1>flexibility</e1> in a crockery <e2>basket</e2> for receiving a plurality of different items of crockery. [SEP] flexibility: the property of being flexible; easily bent or shaped [KG: http://www.wikidata.org/prop/direct/P279: flexibility] [SEP] basket: a container that is usually woven and has handles [KG: http://www.wikidata.org/prop/direct/P31: basket; http://www.wikidata.org/prop/direct/P31: basket],18
Another important part of the <e1>coffeemaker</e1> is the one-way <e2>valve</e2>.,3,Another important part of the <e1>coffeemaker</e1> is the one-way <e2>valve</e2>. [SEP] coffeemaker: N/A [KG: No data] [SEP] valve: a structure in a hollow organ (like the heart) with a flap to insure one-way flow of fluid through it [KG: No data],3
"The paint on the metal spiral <e1>bindings</e1> of the address <e2>books</e2> and journals contains excessive levels of lead, which violates the federal lead paint ban.",2,"The paint on the metal spiral <e1>bindings</e1> of the address <e2>books</e2> and journals contains excessive levels of lead, which violates the federal lead paint ban. [SEP] bindings: the capacity to attract and hold something [KG: No data] [SEP] books: a written work or composition that has been published (printed on pages bound together) [KG: No data]",2
"The <e1>debate</e1> considers cultural <e2>value</e2>, social relevance, sustainability and other abstract topics as possible measures to drive a decision.",14,"The <e1>debate</e1> considers cultural <e2>value</e2>, social relevance, sustainability and other abstract topics as possible measures to drive a decision. [SEP] debate: a discussion in which reasons are advanced for and against some proposition or proposal [KG: http://www.wikidata.org/prop/direct/P279: debate; http://www.wikidata.org/prop/direct/P460: debate; http://www.wikidata.org/prop/direct/P279: debate; http://www.wikidata.org/prop/direct/P460: debate] [SEP] value: a numerical quantity measured or assigned or computed [KG: http://www.wikidata.org/prop/direct/P279: value; http://www.wikidata.org/prop/direct/P1889: value; http://www.wikidata.org/prop/direct/P1889: value; http://www.wikidata.org/prop/direct/P1268: value; http://www.wikidata.org/prop/direct/P279: value]",14
A <e1>man</e1> in a mechanic's jumpsuit took the <e2>elevator</e2> to the eighteenth floor and shook hands with a smiling agent.,11,A <e1>man</e1> in a mechanic's jumpsuit took the <e2>elevator</e2> to the eighteenth floor and shook hands with a smiling agent. [SEP] man: an adult person who is male (as opposed to a woman) [KG: http://www.wikidata.org/prop/direct/P180: man] [SEP] elevator: lifting device consisting of a platform or cage that is raised and lowered mechanically in a vertical shaft in order to move people from one floor to another in a building [KG: No data],11
Eight to 10 <e1>protesters</e1> broke away from a larger <e2>group</e2> of demonstrators and darted into the street in front of Palin's car just after the first police motorcycles in her motorcade had passed.,8,Eight to 10 <e1>protesters</e1> broke away from a larger <e2>group</e2> of demonstrators and darted into the street in front of Palin's car just after the first police motorcycles in her motorcade had passed. [SEP] protesters: a person who dissents from some established policy [KG: No data] [SEP] group: any number of entities (members) considered as a unit [KG: http://www.wikidata.org/prop/direct/P1889: group; http://www.wikidata.org/prop/direct/P1889: group; http://www.wikidata.org/prop/direct/P138: group; http://www.wikidata.org/prop/direct/P1889: group; http://www.wikidata.org/prop/direct/P279: group],8
"Parsley, French, Koomjian and two other <e1>members</e1> of the group scaled the tree with a <e2>rope</e2>.",11,"Parsley, French, Koomjian and two other <e1>members</e1> of the group scaled the tree with a <e2>rope</e2>. [SEP] members: one of the persons who compose a social group (especially individuals who have joined and participate in a group organization) [KG: No data] [SEP] rope: a strong line [KG: No data]",11
This <e1>subject</e1> has over the years become the topic for much <e2>discussion</e2>.,15,This <e1>subject</e1> has over the years become the topic for much <e2>discussion</e2>. [SEP] subject: the subject matter of a conversation or discussion [KG: No data] [SEP] discussion: an extended communication (often interactive) dealing with some particular topic [KG: No data],15
<e1>Parameters</e1> were obtained from EEG <e2>epochs</e2> of 30s.,8,<e1>Parameters</e1> were obtained from EEG <e2>epochs</e2> of 30s. [SEP] Parameters: a constant in the equation of a curve that can be varied to yield a family of similar curves [KG: No data] [SEP] epochs: a period marked by distinctive character or reckoned from a fixed point or event [KG: No data],8
Internal <e1>emails</e1> have been leaked to the public <e2>broadcasting</e2>.,18,Internal <e1>emails</e1> have been leaked to the public <e2>broadcasting</e2>. [SEP] emails: (computer science) a system of world-wide electronic communication in which a computer user can compose a message at one terminal that can be regenerated at the recipient's terminal when the recipient logs in [KG: No data] [SEP] broadcasting: a medium that disseminates via telecommunications [KG: No data],18
These latter <e1>reports</e1> were subjected to intensive <e2>examination</e2>.,18,These latter <e1>reports</e1> were subjected to intensive <e2>examination</e2>. [SEP] reports: a written document describing the findings of some individual or group [KG: No data] [SEP] examination: the act of examining something closely (as for mistakes) [KG: No data],18
"Lucy, Ali and Beth produced a photo <e1>story board</e1> to tell the <e2>story</e2> of the legend of the drift.",14,"Lucy, Ali and Beth produced a photo <e1>story board</e1> to tell the <e2>story</e2> of the legend of the drift. [SEP] story board: N/A [KG: No data] [SEP] story: a message that tells the particulars of an act or occurrence or course of events; presented in writing or drama or cinema or as a radio or television program [KG: No data]",14
He also appeared in a television <e1>commercial</e1> against internet movie <e2>piracy</e2>.,14,He also appeared in a television <e1>commercial</e1> against internet movie <e2>piracy</e2>. [SEP] commercial: a commercially sponsored ad on radio or television [KG: No data] [SEP] piracy: hijacking on the high seas or in similar contexts; taking a ship or plane away from the control of those who are legally entitled to it [KG: No data],14
This is the most stable <e1>configuration</e1> of <e2>electrons</e2> - adding or subtracting an electron requires too much energy and so it does not really happen in nature.,3,This is the most stable <e1>configuration</e1> of <e2>electrons</e2> - adding or subtracting an electron requires too much energy and so it does not really happen in nature. [SEP] configuration: an arrangement of parts or elements [KG: No data] [SEP] electrons: an elementary particle with negative charge [KG: No data],3
They placed the <e1>rats</e1> in a <e2>chamber</e2> which would give their feet an electrical shock.,6,They placed the <e1>rats</e1> in a <e2>chamber</e2> which would give their feet an electrical shock. [SEP] rats: any of various long-tailed rodents similar to but larger than a mouse [KG: No data] [SEP] chamber: a natural or artificial enclosed space [KG: No data],6
The <e1>aircraft</e1> accommodated a <e2>pilot</e2> and copilot sitting side-by-side in a framed canopy.,18,The <e1>aircraft</e1> accommodated a <e2>pilot</e2> and copilot sitting side-by-side in a framed canopy. [SEP] aircraft: a vehicle that can fly [KG: No data] [SEP] pilot: someone who is licensed to operate an aircraft in flight [KG: No data],18
Our procedure is applicable to a wide variety of problems in which an order <e1>parameter</e1> departs spontaneously from an unstable initial <e2>value</e2>.,8,Our procedure is applicable to a wide variety of problems in which an order <e1>parameter</e1> departs spontaneously from an unstable initial <e2>value</e2>. [SEP] parameter: a constant in the equation of a curve that can be varied to yield a family of similar curves [KG: http://www.wikidata.org/prop/direct/P279: parameter] [SEP] value: a numerical quantity measured or assigned or computed [KG: http://www.wikidata.org/prop/direct/P279: value; http://www.wikidata.org/prop/direct/P1889: value; http://www.wikidata.org/prop/direct/P1889: value; http://www.wikidata.org/prop/direct/P1268: value; http://www.wikidata.org/prop/direct/P279: value],8
"A large <e1>smack</e1> of translucent <e2>jellyfish</e2> mechanically undulates in and around the frothy pacific shoreline, cast against the sharp backdrop of a 35 million year old canyon that takes my breath away.",13,"A large <e1>smack</e1> of translucent <e2>jellyfish</e2> mechanically undulates in and around the frothy pacific shoreline, cast against the sharp backdrop of a 35 million year old canyon that takes my breath away. [SEP] smack: a blow from a flat object (as an open hand) [KG: No data] [SEP] jellyfish: large siphonophore having a bladderlike float and stinging tentacles [KG: No data]",13
"The <e1>spirit</e1> was distilled from a capacious glass <e2>vessel</e2>, and the vapour allowed to pass into a long glass tube about three inches in diameter.",8,"The <e1>spirit</e1> was distilled from a capacious glass <e2>vessel</e2>, and the vapour allowed to pass into a long glass tube about three inches in diameter. [SEP] spirit: the vital principle or animating force within living things [KG: http://www.wikidata.org/prop/direct/P1889: spirit; http://www.wikidata.org/prop/direct/P1889: spirit] [SEP] vessel: a tube in which a body fluid circulates [KG: http://www.wikidata.org/prop/direct/P1629: vessel; http://www.wikidata.org/prop/direct/P1687: vessel; http://www.wikidata.org/prop/direct/P1889: vessel]",8
He accidental put <e1>oil</e1> into the <e2>gas tank</e2>.,6,He accidental put <e1>oil</e1> into the <e2>gas tank</e2>. [SEP] oil: a slippery or viscous liquid or liquefiable substance not miscible with water [KG: No data] [SEP] gas tank: N/A [KG: No data],6
"A University of Michigan study of 756 recently unemployed job seekers has found that medical and emotional <e1>fallout</e1>, including depression, from <e2>unemployment</e2> continued even after two years, when 71 percent were re-employed.",1,"A University of Michigan study of 756 recently unemployed job seekers has found that medical and emotional <e1>fallout</e1>, including depression, from <e2>unemployment</e2> continued even after two years, when 71 percent were re-employed. [SEP] fallout: the radioactive particles that settle to the ground after a nuclear explosion [KG: No data] [SEP] unemployment: the state of being unemployed or not having a job [KG: No data]",1
Before leaving Peter bought a <e1>silver</e1> star <e2>necklace</e2> for Tina.,18,Before leaving Peter bought a <e1>silver</e1> star <e2>necklace</e2> for Tina. [SEP] silver: a soft white precious univalent metallic element having the highest electrical and thermal conductivity of any metal; occurs in argentite and in free form; used in coins and jewelry and tableware and photography [KG: http://www.wikidata.org/prop/direct/P462: silver; http://www.wikidata.org/prop/direct/P527: silver; http://www.wikidata.org/prop/direct/P462: silver] [SEP] necklace: jewelry consisting of a cord or chain (often bearing gems) worn about the neck as an ornament (especially by women) [KG: No data],18
The <e1>accolade</e1> was decided upon after an intense <e2>discussion</e2> between about 200 members.,1,The <e1>accolade</e1> was decided upon after an intense <e2>discussion</e2> between about 200 members. [SEP] accolade: a tangible symbol signifying approval or distinction [KG: No data] [SEP] discussion: an extended communication (often interactive) dealing with some particular topic [KG: No data],1
The second <e1>example</e1> was about memory allocation <e2>functions</e2>.,14,The second <e1>example</e1> was about memory allocation <e2>functions</e2>. [SEP] example: an item of information that is typical of a class or group [KG: No data] [SEP] functions: (mathematics) a mathematical relation such that each element of a given set (the domain of the function) is associated with an element of another set (the range of the function) [KG: No data],14
The infamous <e1>teacher</e1> has been dragged into another child abuse <e2>case</e2>.,18,The infamous <e1>teacher</e1> has been dragged into another child abuse <e2>case</e2>. [SEP] teacher: a person whose occupation is teaching [KG: No data] [SEP] case: an occurrence of something [KG: No data],18
"Food <e1>poisoning</e1> is perhaps the commonest cause of <e2>abdominal pain</e2>, especially in the young dog or the scavenger type.",0,"Food <e1>poisoning</e1> is perhaps the commonest cause of <e2>abdominal pain</e2>, especially in the young dog or the scavenger type. [SEP] poisoning: the physiological state produced by a poison or other toxic substance [KG: No data] [SEP] abdominal pain: N/A [KG: No data]",0
"The first days were frustrating as the winds were blowing for large sails, but the <e1>direction</e1> was from the <e2>north</e2>, and the bay was at low tide.",18,"The first days were frustrating as the winds were blowing for large sails, but the <e1>direction</e1> was from the <e2>north</e2>, and the bay was at low tide. [SEP] direction: a line leading to a place or point [KG: No data] [SEP] north: the region of the United States lying to the north of the Mason-Dixon line [KG: No data]",18
The trailer is a <e1>combo</e1> of the movies comedy and horror <e2>elements</e2> whilst also selling the potential for Megan Fox to be mostly naked.,3,The trailer is a <e1>combo</e1> of the movies comedy and horror <e2>elements</e2> whilst also selling the potential for Megan Fox to be mostly naked. [SEP] combo: a small band of jazz musicians [KG: No data] [SEP] elements: violent or severe weather (viewed as caused by the action of the four elements) [KG: No data],3
The <e1>alkali</e1> was contained in a <e2>nickel crucible</e2> with a loose lid having openings for the stirrer and for the passage of nitrogen.,4,The <e1>alkali</e1> was contained in a <e2>nickel crucible</e2> with a loose lid having openings for the stirrer and for the passage of nitrogen. [SEP] alkali: any of various water-soluble compounds capable of turning litmus blue and reacting with an acid to form a salt and water [KG: No data] [SEP] nickel crucible: N/A [KG: No data],4
The <e1>lawsuit</e1> alleged the release of the records was a <e2>violation</e2> of the Video Privacy Protection Act.,14,The <e1>lawsuit</e1> alleged the release of the records was a <e2>violation</e2> of the Video Privacy Protection Act. [SEP] lawsuit: a comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy [KG: No data] [SEP] violation: a crime less serious than a felony [KG: No data],14
Rudders and <e1>skegs</e1> improve the control over your <e2>kayak</e2>.,2,Rudders and <e1>skegs</e1> improve the control over your <e2>kayak</e2>. [SEP] skegs: a brace that extends from the rear of the keel to support the rudderpost [KG: No data] [SEP] kayak: a small canoe consisting of a light frame made watertight with animal skins; used by Eskimos [KG: No data],2
"Formerly, the <e1>essential oil</e1> was distilled from the <e2>peel</e2> for use in perfumery.",8,"Formerly, the <e1>essential oil</e1> was distilled from the <e2>peel</e2> for use in perfumery. [SEP] essential oil: N/A [KG: No data] [SEP] peel: British politician (1788-1850) [KG: No data]",8
The harrowing <e1>scenes</e1> were reported over several weeks in national <e2>newspapers</e2>.,15,The harrowing <e1>scenes</e1> were reported over several weeks in national <e2>newspapers</e2>. [SEP] scenes: the place where some action occurs [KG: No data] [SEP] newspapers: a daily or weekly publication on folded sheets; contains news and articles and advertisements [KG: No data],15
I make all of my skirts and <e1>pants</e1> with elastic <e2>waists</e2>.,3,I make all of my skirts and <e1>pants</e1> with elastic <e2>waists</e2>. [SEP] pants: underpants worn by women [KG: No data] [SEP] waists: the narrowing of the body between the ribs and hips [KG: No data],3
"The model was approved by as the top <e1>design</e1> by a professional <e2>panel</e2>; however, it was later exhibited for the public.",18,"The model was approved by as the top <e1>design</e1> by a professional <e2>panel</e2>; however, it was later exhibited for the public. [SEP] design: the act of working out the form of something (as by making a sketch or outline or plan) [KG: http://www.wikidata.org/prop/direct/P279: design; http://www.wikidata.org/prop/direct/P460: design; http://www.wikidata.org/prop/direct/P1056: design; http://www.wikidata.org/prop/direct/P1889: design; http://www.wikidata.org/prop/direct/P460: design] [SEP] panel: sheet that forms a distinct (usually flat and rectangular) section or component of something [KG: http://www.wikidata.org/prop/direct/P1889: panel; http://www.wikidata.org/prop/direct/P279: panel; http://www.wikidata.org/prop/direct/P1889: panel]",18
"The ending consists of a long <e1>speech</e1> by the <e2>narrator</e2> informing us that ""there was no monster.""",16,"The ending consists of a long <e1>speech</e1> by the <e2>narrator</e2> informing us that ""there was no monster."" [SEP] speech: the act of delivering a formal spoken communication to an audience [KG: No data] [SEP] narrator: someone who tells a story [KG: http://www.wikidata.org/prop/direct/P1629: narrator; http://www.wikidata.org/prop/direct/P1687: narrator; http://www.wikidata.org/prop/direct/P460: narrator; http://www.wikidata.org/prop/direct/P1889: narrator; http://www.wikidata.org/prop/direct/P460: narrator]",16
The <e1>defendant</e1> had absconded from his <e2>probation</e2>.,8,The <e1>defendant</e1> had absconded from his <e2>probation</e2>. [SEP] defendant: a person or institution against whom an action is brought in a court of law; the person being sued or accused [KG: http://www.wikidata.org/prop/direct/P1687: defendant; http://www.wikidata.org/prop/direct/P460: defendant; http://www.wikidata.org/prop/direct/P460: defendant] [SEP] probation: a trial period during which your character and abilities are tested to see whether you are suitable for work or for membership [KG: No data],8
A <e1>tablet</e1> was given to <e2>patients</e2> to relieve extreme conditions of discomfort.,6,A <e1>tablet</e1> was given to <e2>patients</e2> to relieve extreme conditions of discomfort. [SEP] tablet: a slab of stone or wood suitable for bearing an inscription [KG: http://www.wikidata.org/prop/direct/P279: tablet] [SEP] patients: a person who requires medical care [KG: No data],6
This <e1>surgeon</e1> is part of the study <e2>group</e2>.,12,This <e1>surgeon</e1> is part of the study <e2>group</e2>. [SEP] surgeon: a physician who specializes in surgery [KG: http://www.wikidata.org/prop/direct/P155: surgeon; http://www.wikidata.org/prop/direct/P1889: surgeon; http://www.wikidata.org/prop/direct/P156: surgeon; http://www.wikidata.org/prop/direct/P1889: surgeon; http://www.wikidata.org/prop/direct/P1889: surgeon] [SEP] group: any number of entities (members) considered as a unit [KG: http://www.wikidata.org/prop/direct/P1889: group; http://www.wikidata.org/prop/direct/P1889: group; http://www.wikidata.org/prop/direct/P138: group; http://www.wikidata.org/prop/direct/P1889: group; http://www.wikidata.org/prop/direct/P279: group],12
We are able to wax any of our wicks with either a paraffin coating or for natural <e1>candles</e1> a 100% natural wax <e2>coating</e2>.,3,We are able to wax any of our wicks with either a paraffin coating or for natural <e1>candles</e1> a 100% natural wax <e2>coating</e2>. [SEP] candles: stick of wax with a wick in the middle [KG: No data] [SEP] coating: a thin layer covering something [KG: http://www.wikidata.org/prop/direct/P460: coating; http://www.wikidata.org/prop/direct/P366: coating; http://www.wikidata.org/prop/direct/P828: coating; http://www.wikidata.org/prop/direct/P1889: coating; http://www.wikidata.org/prop/direct/P2079: coating],3
The rest of the <e1>paragraph</e1> talks about <e2>attitude</e2> rather than syntax.,14,The rest of the <e1>paragraph</e1> talks about <e2>attitude</e2> rather than syntax. [SEP] paragraph: one of several distinct subdivisions of a text intended to separate ideas; the beginning is usually marked by a new indented line [KG: http://www.wikidata.org/prop/direct/P1889: paragraph; http://www.wikidata.org/prop/direct/P1889: paragraph] [SEP] attitude: a complex mental state involving beliefs and feelings and values and dispositions to act in certain ways [KG: No data],14
The wrathful <e1>goddess</e1> turned her into a <e2>crane</e2> and proclaimed that her bird descendants should wage eternal war on the Pygmy folk.,17,The wrathful <e1>goddess</e1> turned her into a <e2>crane</e2> and proclaimed that her bird descendants should wage eternal war on the Pygmy folk. [SEP] goddess: a female deity [KG: No data] [SEP] crane: United States writer (1871-1900) [KG: No data],17
